日期,人民币中间价,仓位,收盘价,净值,变化比例,校准值,对冲值,ETF静态估值,ETF静态估值误差,ETF静态溢价,GLD,GLD权重,USO,USO权重,黄金期货校准
2026-04-20,6.8648,67.0,0.742,,,0.0,0.0,,,,,62.0,,38.0,10.9349
2026-04-17,6.8622,67.0,0.747,0.735,-1.4248%,2992.963001306123,4467.108957173317,0.7462,1.53%,0.11%,445.93,62.0,116.04,38.0,
2026-04-16,6.8616,67.0,0.743,0.757,0.6727%,2906.6063911228534,4338.2184942132135,0.7561,-0.13%,-1.73%,440.08,62.0,125.84,38.0,10.9362
2026-04-15,6.8582,67.0,0.743,0.751,-0.7018%,2919.2499055659123,4357.089411292406,0.7477,-0.44%,-0.63%,440.46,62.0,122.59,38.0,10.933
2026-04-14,6.8593,67.0,0.743,0.753,-0.0497%,2942.473910810093,4391.752105686705,0.7566,0.48%,-1.80%,445.09,62.0,123.85,38.0,10.9425
2026-04-13,6.8657,67.0,0.747,0.757,0.5793%,2890.8660188375165,4314.725401250024,0.7493,-1.02%,-0.31%,435.36,62.0,128.47,38.0,10.9467
2026-04-10,6.8654,67.0,0.739,0.745,-0.4983%,2934.6331998389264,4380.049551998397,0.7443,-0.10%,-0.71%,437.13,62.0,124.82,38.0,10.9451
2026-04-09,6.8649,67.0,0.749,0.748,0.7713%,2963.08999552139,4422.522381375208,0.7518,0.50%,-0.37%,437.91,63.0,126.96,37.0,10.9496
2026-04-08,6.868,67.0,0.756,0.746,-2.3217%,2944.6642064343164,4395.021203633308,0.7502,0.56%,0.78%,434.53,63.0,124.58,37.0,10.9381
2026-04-07,6.8854,67.0,0.767,0.768,0.2393%,2896.9773612760414,4323.846807874688,0.7688,0.11%,-0.24%,431.81,63.0,138.08,37.0,10.9457
2026-04-03,6.8929,67.0,0.755,0.767,,0.0,0.0,,,,,63.0,,37.0,10.9317
2026-04-02,6.888,67.0,0.766,0.767,1.8072%,2887.7396683181223,4310.059206444958,0.7707,0.48%,-0.61%,429.41,63.0,137.92,37.0,10.9561
2026-04-01,6.9025,67.0,0.787,0.757,-0.0409%,2933.6983616248344,4378.654271081842,0.7647,1.02%,2.92%,437.82,63.0,124.09,37.0,10.9611
2026-03-31,6.9194,67.0,0.78,0.765,1.0783%,2877.7938364444444,4295.214681260364,0.7722,0.95%,1.01%,430.29,63.0,127.25,37.0,10.9622
2026-03-30,6.9223,67.0,0.77,0.764,1.1923%,2801.7420310863877,4181.704524009534,0.7691,0.66%,0.12%,414.58,63.0,129.83,37.0,10.9624
2026-03-27,6.9141,67.0,0.748,0.76,3.0346%,2794.8884625,4171.475317164179,0.7666,0.87%,-2.42%,414.7,63.0,124.2,37.0,10.9624
2026-03-26,6.9056,67.0,0.741,0.744,-0.6013%,2745.434516989247,4097.663458192906,0.7435,-0.07%,-0.34%,400.64,63.0,117.26,37.0,10.9624
2026-03-25,6.8911,67.0,0.738,0.748,0.9896%,2802.6601185828877,4183.074803855056,0.7483,0.04%,-1.38%,416.29,63.0,113.39,37.0,10.9624
2026-03-24,6.8943,67.0,0.741,0.741,0.8054%,2763.1321650607288,4124.0778582995945,0.7389,-0.28%,0.28%,404.13,63.0,114.54,37.0,10.9624
2026-03-23,6.9041,67.0,0.728,0.733,-3.0403%,2782.855272633015,4153.5153322880815,0.7408,1.06%,-1.72%,404.04,63.0,110.56,37.0,10.9624
2026-03-20,6.8898,67.0,0.757,0.764,-0.5044%,2753.7421378272247,4110.062892279439,0.7631,-0.11%,-0.80%,413.38,63.0,121.43,37.0,10.9624
2026-03-19,6.8975,67.0,0.757,0.767,-2.5562%,2806.3157708604954,4188.531001284321,0.763,-0.52%,-0.78%,426.41,63.0,117.36,37.0,10.9624
2026-03-18,6.8909,67.0,0.775,0.783,-0.7950%,2862.003745453384,4271.647381273708,0.7837,0.09%,-1.11%,444.74,63.0,121.67,37.0,10.9624
2026-03-17,6.8961,67.0,0.787,0.79,0.6206%,2909.5510094810124,4342.613446986586,0.7909,0.11%,-0.49%,459.27,63.0,118.84,37.0,10.9624
2026-03-16,6.9057,,0.789,0.786,,0.0,0.0,,,,460.43,,115.03,,10.9624
2026-03-13,6.9007,,0.785,,,0.0,0.0,,,,460.84,,119.89,,10.9624
2026-03-12,6.8959,,0.787,,,0.0,0.0,,,,466.88,,118.39,,10.9624
2026-03-11,6.8917,,0.787,,,0.0,0.0,,,,476.24,,108.05,,10.9624
2026-03-10,6.8982,,0.795,,,0.0,0.0,,,,477.86,,105.86,,10.9624
2026-03-09,6.9158,,0.773,,,0.0,0.0,,,,472.53,,104.33,,10.9624
2026-03-06,6.9025,,0.77,,,0.0,0.0,,,,473.51,,108.77,,10.9624
2026-03-05,6.9007,,0.778,,,0.0,0.0,,,,466.13,,96.31,,10.9624
2026-03-04,6.9124,,0.779,,,0.0,0.0,,,,471.8,,91.56,,10.9624
2026-03-03,6.9088,,0.792,,,0.0,0.0,,,,468.14,,90.2,,10.9624
2026-03-02,6.9236,,0.805,,,0.0,0.0,,,,490.0,,87.19,,10.9624
2026-02-27,6.9228,,,,,0.0,0.0,,,,483.75,,81.95,,10.9624
2026-02-26,6.9228,,,,,0.0,0.0,,,,477.48,,79.77,,10.9624
2026-02-25,6.9321,,,,,0.0,0.0,,,,473.42,,79.73,,10.9624
2026-02-24,6.9414,,,,,0.0,0.0,,,,474.61,,80.76,,10.9624
