日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,USO,USO权重,^USO-EU,^USO-EU权重,^USO-JP,^USO-JP权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,原油期货校准
2026-04-20,6.8648,77.0,2.34,,,,,,,44.0,,48.0,121.41,8.0,66.67642943999999,86.59276550649349,,,,,0.7283
2026-04-17,6.8622,77.0,2.343,1.866,-6.2599%,1.8651,-0.05%,25.62%,116.04,44.0,113.55,48.0,126.2,8.0,425.3298942765273,552.376486073412,83.85,1.8144,-2.76%,29.13%,
2026-04-16,6.8616,77.0,2.385,1.9897,1.4862%,1.9885,-0.06%,19.94%,125.84,44.0,126.44,48.0,123.39,8.0,434.2840685530482,564.0052838351276,94.69,2.0164,1.34%,18.28%,0.7418
2026-04-15,6.8582,77.0,2.433,1.9594,-0.6738%,1.945,-0.73%,25.09%,122.59,44.0,124.92,48.0,121.43,8.0,432.67352654894347,561.9136708427837,91.29,1.9581,-0.07%,24.25%,0.7425
2026-04-14,6.8593,77.0,2.516,1.9582,-3.7107%,1.9427,-0.79%,29.51%,123.85,44.0,125.24,48.0,125.98,8.0,436.7631777550812,567.2249061754301,91.28,1.894,-3.28%,32.84%,0.7468
2026-04-13,6.8657,77.0,2.568,2.0176,3.2026%,2.0233,0.28%,26.92%,128.47,44.0,132.81,48.0,132.82,8.0,445.44427480174465,578.499058184084,99.08,1.9998,-0.88%,28.41%,0.7727
2026-04-10,6.8654,77.0,2.399,1.9605,-1.1747%,1.9427,-0.91%,23.49%,124.82,44.0,126.43,48.0,125.81,8.0,440.0859723539914,571.5402238363524,96.57,1.9458,-0.75%,23.29%,0.7798
2026-04-09,6.8649,77.0,2.56,1.9658,2.7454%,1.989,1.18%,28.70%,126.96,43.0,128.54,50.0,125.86,7.0,445.85531473191566,579.0328762752151,97.87,1.9898,1.22%,28.65%,0.7838
2026-04-08,6.868,100.0,2.516,1.9359,-12.6176%,1.8346,-5.23%,37.14%,124.58,48.0,123.19,39.0,115.63,13.0,435.92198935895453,435.92198935895453,94.41,1.7504,-9.58%,43.73%,0.7757
2026-04-07,6.8854,100.0,2.796,2.0995,2.7925%,2.1145,0.72%,32.23%,138.08,48.0,142.41,39.0,142.36,13.0,460.2021641057395,460.2021641057395,112.95,2.0823,-0.82%,34.27%,0.8153
