日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,GLD,GLD权重,^GLD-EU,^GLD-EU权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,黄金期货校准
2026-04-20,6.8648,93.0,1.817,,,,,,,87.0,,13.0,0.0,0.0,,,,,10.9349
2026-04-17,6.8622,93.0,1.807,1.8149,1.2543%,1.8149,-0.00%,-0.43%,445.93,87.0,447.34,13.0,1686.7698976582733,1813.7310727508313,4879.6,1.8173,0.13%,-0.56%,
2026-04-16,6.8616,93.0,1.823,1.7924,-0.0106%,1.7923,-0.00%,1.71%,440.08,87.0,441.12,13.0,1685.2156975675073,1812.0598898575347,4808.3,1.788,-0.24%,1.96%,10.9362
2026-04-15,6.8582,93.0,1.821,1.7925,-0.8827%,1.7919,-0.03%,1.62%,440.46,87.0,440.64,13.0,1685.3128334058579,1812.164336995546,4823.6,1.7984,0.33%,1.25%,10.933
2026-04-14,6.8593,93.0,1.815,1.8079,1.9863%,1.8082,0.02%,0.38%,445.09,87.0,441.6,13.0,1686.9814550528238,1813.9585538202405,4850.1,1.8,-0.43%,0.83%,10.9425
2026-04-13,6.8657,93.0,1.804,1.773,-0.5095%,1.7737,0.04%,1.71%,435.36,87.0,432.07,13.0,1684.2158443936833,1810.984778917939,4767.4,1.7759,0.17%,1.58%,10.9467
2026-04-10,6.8654,93.0,1.819,1.7828,-0.1409%,1.7841,0.07%,1.96%,437.13,87.0,438.82,13.0,1684.1937572245906,1810.9610292737532,4787.4,1.7762,-0.37%,2.41%,10.9451
2026-04-09,6.8649,93.0,1.818,1.7866,0.6583%,1.7862,-0.02%,1.78%,437.91,87.0,438.95,13.0,1683.1615882010522,1809.8511701086582,4818.0,1.7878,0.07%,1.69%,10.9496
2026-04-08,6.868,100.0,1.876,1.7745,0.5593%,1.7724,-0.12%,5.85%,434.53,87.0,436.38,13.0,1682.729666948436,1682.729666948436,4777.2,1.7928,1.03%,4.64%,10.9381
2026-04-07,6.8854,100.0,1.805,1.7625,0.4009%,1.7642,0.10%,2.31%,431.81,87.0,427.63,13.0,1684.7903816397163,1684.7903816397163,4684.7,1.7584,-0.23%,2.65%,10.9457
2026-04-03,6.8929,100.0,1.808,1.7583,,,,,,87.0,,13.0,0.0,0.0,,,,,10.9317
2026-04-02,6.888,100.0,1.826,1.7572,-2.1466%,1.756,-0.07%,3.99%,429.41,87.0,429.2,13.0,1683.1254482130662,1683.1254482130662,4679.7,1.7411,-0.92%,4.88%,10.9561
2026-04-01,6.9025,100.0,1.918,1.7945,1.7319%,1.7944,-0.00%,6.89%,437.82,87.0,438.28,13.0,1684.2938531624409,1684.2938531624409,4813.1,1.8102,0.87%,5.96%,10.9611
2026-03-31,6.9194,100.0,1.83,1.7639,3.4802%,1.7709,0.39%,3.34%,430.29,87.0,423.35,13.0,1684.3959086796306,1684.3959086796306,4678.6,1.756,-0.45%,4.21%,10.9622
2026-03-30,6.9223,100.0,1.78,1.7113,0.0993%,1.7095,-0.11%,4.12%,414.58,87.0,416.09,13.0,1677.7923108104949,1677.7923108104949,4557.5,1.7224,0.65%,3.35%,10.9624
2026-03-27,6.9141,100.0,1.734,1.7078,3.5694%,1.7135,0.33%,1.20%,414.7,87.0,415.9,13.0,1679.5619332474528,1679.5619332474528,4524.3,1.6998,-0.47%,2.01%,10.9624
2026-03-26,6.9056,100.0,1.708,1.6544,-3.5235%,1.6504,-0.24%,3.49%,400.64,87.0,403.82,13.0,1674.0294723404254,1674.0294723404254,4409.0,1.6483,-0.37%,3.62%,10.9624
2026-03-25,6.8911,100.0,1.754,1.7107,2.9593%,1.7139,0.18%,2.34%,416.29,87.0,418.48,13.0,1678.0603935055824,1678.0603935055824,4585.5,,,,10.9624
2026-03-24,6.8943,100.0,1.668,1.6646,0.0529%,1.6654,0.05%,0.16%,404.13,87.0,406.31,13.0,1674.965339192599,1674.965339192599,,,,,10.9624
2026-03-23,6.9041,100.0,1.6,1.6645,-2.3762%,1.6628,-0.10%,-3.78%,404.04,87.0,400.89,13.0,1674.1996605887653,1674.1996605887653,,,,,10.9624
2026-03-20,6.8898,100.0,1.765,1.7033,-2.8056%,1.6955,-0.46%,4.10%,413.38,87.0,420.72,13.0,1675.9700411906301,1675.9700411906301,,,,,10.9624
2026-03-19,6.8975,100.0,1.797,1.7444,-4.2617%,1.7399,-0.26%,3.28%,426.41,87.0,421.97,13.0,1683.7776530612246,1683.7776530612246,,,,,10.9624
2026-03-18,6.8909,100.0,1.889,1.8173,-3.1442%,1.8113,-0.33%,4.29%,444.74,87.0,448.45,13.0,1688.2090722885603,1688.2090722885603,,,,,10.9624
2026-03-17,6.8961,100.0,1.893,1.8701,-0.2940%,1.8695,-0.03%,1.26%,459.27,87.0,459.72,13.0,1693.7999405646754,1693.7999405646754,,,,,10.9624
2026-03-16,6.9057,,1.897,1.875,,,,,460.43,,457.47,,0.0,0.0,,,,,10.9624
2026-03-13,6.9007,,1.927,,,,,,460.84,,463.58,,0.0,0.0,,,,,10.9624
2026-03-12,6.8959,,1.954,,,,,,466.88,,471.09,,0.0,0.0,,,,,10.9624
2026-03-11,6.8917,,1.973,,,,,,476.24,,474.87,,0.0,0.0,,,,,10.9624
2026-03-10,6.8982,,1.973,,,,,,477.86,,480.69,,0.0,0.0,,,,,10.9624
2026-03-09,6.9158,,1.957,,,,,,472.53,,469.04,,0.0,0.0,,,,,10.9624
2026-03-06,6.9025,,1.976,,,,,,473.51,,472.83,,0.0,0.0,,,,,10.9624
2026-03-05,6.9007,,1.994,,,,,,466.13,,465.66,,0.0,0.0,,,,,10.9624
2026-03-04,6.9124,,2.009,,,,,,471.8,,473.03,,0.0,0.0,,,,,10.9624
2026-03-03,6.9088,,2.041,,,,,,468.14,,470.07,,0.0,0.0,,,,,10.9624
2026-03-02,6.9236,,2.129,,,,,,490.0,,487.78,,0.0,0.0,,,,,10.9624
2026-02-27,6.9228,,,,,,,,483.75,,481.05,,0.0,0.0,,,,,10.9624
2026-02-26,6.9228,,,,,,,,477.48,,475.9,,0.0,0.0,,,,,10.9624
2026-02-25,6.9321,,,,,,,,473.42,,478.1,,0.0,0.0,,,,,10.9624
2026-02-24,6.9414,,,,,,,,474.61,,472.65,,0.0,0.0,,,,,10.9624
2026-02-13,6.9398,,,,,,,,462.62,,461.82,,0.0,0.0,,,,,10.9624
2026-02-12,6.9457,,,,,,,,451.39,,449.95,,0.0,0.0,,,,,10.9624
2026-02-11,6.9438,,,,,,,,467.63,,465.79,,0.0,0.0,,,,,10.9624
2026-02-10,6.9458,,,,,,,,462.4,,460.35,,0.0,0.0,,,,,10.9624
2026-02-09,6.9523,,,,,,,,467.03,,465.9,,0.0,0.0,,,,,10.9624
2026-02-06,6.959,,,,,,,,455.46,,453.58,,0.0,0.0,,,,,10.9624
2026-02-05,6.957,,,,,,,,441.88,,445.78,,0.0,0.0,,,,,10.9624
2026-02-04,6.9533,,,,,,,,453.97,,452.4,,0.0,0.0,,,,,10.9624
2026-02-03,6.9608,,,,,,,,454.29,,457.15,,0.0,0.0,,,,,10.9624
2026-02-02,6.9695,,,,,,,,427.13,,429.2,,0.0,0.0,,,,,10.9624
2026-01-30,6.9678,,,,,,,,444.95,,460.01,,0.0,0.0,,,,,10.9624
2026-01-29,6.9771,,,,,,,,495.9,,487.42,,0.0,0.0,,,,,10.9624
2026-01-28,6.9755,,,,,,,,494.56,,485.82,,0.0,0.0,,,,,10.9624
2026-01-27,6.9858,,,,,,,,476.1,,468.61,,0.0,0.0,,,,,10.9624
2026-01-26,6.9843,,,,,,,,464.7,,466.78,,0.0,0.0,,,,,10.9624
2026-01-23,6.9929,,,,,,,,458.0,,458.19,,0.0,0.0,,,,,10.9624
2026-01-22,7.0019,,,,,,,,451.79,,447.98,,0.0,0.0,,,,,10.9624
2026-01-21,7.0014,,,,,,,,443.6,,444.84,,0.0,0.0,,,,,10.9624
2026-01-20,7.0006,,,,,,,,437.23,,435.92,,0.0,0.0,,,,,10.9624
2026-01-19,,,,,,,,,,,,,0.0,0.0,,,,,
2026-01-16,7.0078,,,,,,,,421.29,,422.21,,0.0,0.0,,,,,10.9624
2026-01-15,7.0064,,,,,,,,423.33,,423.86,,0.0,0.0,,,,,10.9624
2026-01-14,7.012,,,,,,,,425.94,,424.81,,0.0,0.0,,,,,10.9624
2026-01-13,7.0103,,,,,,,,421.63,,422.95,,0.0,0.0,,,,,10.9624
2026-01-12,7.0108,,,,,,,,422.23,,424.81,,0.0,0.0,,,,,10.9624
2026-01-09,7.0128,,,,,,,,414.47,,414.0,,0.0,0.0,,,,,10.9624
2026-01-08,7.0197,,,,,,,,411.49,,409.34,,0.0,0.0,,,,,10.9624
2026-01-07,7.0187,,,,,,,,409.23,,410.01,,0.0,0.0,,,,,10.9624
2026-01-06,7.0173,,,,,,,,413.18,,412.28,,0.0,0.0,,,,,10.9624
2026-01-05,7.023,,,,,,,,408.76,,408.44,,0.0,0.0,,,,,10.9624
