日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,SPY,SPY权重,.INX,指数静态估值,指数静态估值误差,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,161125官方校准
2026-04-20,6.8648,95.0,2.957,,,,,,,100.0,,,,0.0,0.0,,,,,
2026-04-17,6.8622,95.0,2.947,2.9715,1.1565%,2.9717,0.01%,-0.83%,710.14,100.0,,,,1639.9537970721858,1726.2671548128274,7161.5,2.9713,-0.01%,-0.82%,
2026-04-16,6.8616,95.0,2.952,2.9377,0.2807%,2.9375,-0.01%,0.49%,701.66,100.0,,,,1638.870632127174,1725.126981186499,7077.0,2.9372,-0.02%,0.50%,
2026-04-15,6.8582,95.0,2.913,2.9293,0.7343%,2.9288,-0.02%,-0.54%,699.94,100.0,,,,1638.7288799371865,1724.9777683549332,7060.5,2.929,-0.01%,-0.55%,16442.425515
2026-04-14,6.8593,95.0,2.894,2.9075,1.0679%,2.9083,0.03%,-0.49%,694.46,100.0,,,,1638.3523570077384,1724.5814284291985,7004.75,2.9074,-0.00%,-0.46%,16437.26533
2026-04-13,6.8657,95.0,2.867,2.8776,0.9326%,2.8768,-0.03%,-0.34%,686.1,100.0,,2.8793,0.06%,1636.9741346955796,1723.1306681006101,6922.75,2.877,-0.02%,-0.35%,16429.96224
2026-04-10,6.8654,95.0,2.879,2.8502,-0.0560%,2.8513,0.04%,0.97%,679.46,100.0,,2.8499,-0.01%,1636.6446859869484,1722.7838799862616,6855.25,2.8499,-0.01%,1.02%,16420.13799
2026-04-09,6.8649,95.0,2.858,2.8529,0.5049%,2.8517,-0.04%,0.22%,679.91,100.0,,2.8536,0.03%,1636.0595040134597,1722.1678989615366,6863.25,2.8518,-0.04%,0.22%,16422.10025
2026-04-08,6.868,100.0,2.884,2.8374,2.2878%,2.841,0.13%,1.51%,676.01,100.0,,2.84,0.09%,1636.2996687107916,1636.2996687107916,6823.75,2.84,0.09%,1.55%,16417.96707
2026-04-07,6.8854,100.0,2.792,2.7775,0.4790%,2.778,0.02%,0.50%,659.22,100.0,,2.7812,0.13%,1634.2010397839783,1634.2010397839783,6656.75,,,,16403.1178
2026-04-03,6.8929,100.0,2.789,2.7665,,,,,,100.0,,,,0.0,0.0,,,,,
2026-04-02,6.888,,2.787,2.7648,,,,,655.83,,,,,0.0,0.0,,,,,16399.58335
2026-04-01,6.9025,,2.807,2.767,,,,,655.24,,,,,0.0,0.0,,,,,16402.6545
2026-03-31,6.9194,,2.735,2.7542,,,,,650.34,,,,,0.0,0.0,,,,,16401.6561
2026-03-30,6.9223,,2.738,2.6809,,,,,631.97,,,,,0.0,0.0,,,,,16379.9971
2026-03-27,6.9141,,2.781,2.6883,,,,,634.09,,,,,0.0,0.0,,,,,16380.1906
2026-03-26,6.9056,,2.79,2.7289,,,,,645.09,,,,,0.0,0.0,,,,,16390.7353
2026-03-25,6.8911,,2.793,2.7698,,,,,656.82,,,,,0.0,0.0,,,,,16400.2605
2026-03-24,6.8943,,2.761,2.7567,,,,,653.18,,,,,0.0,0.0,,,,,16396.99
2026-03-23,6.9041,,2.722,2.7702,,,,,655.38,,,,,0.0,0.0,,,,,16401.6613
2026-03-20,6.8898,,2.827,2.7355,,,,,648.57,,,,,0.0,0.0,,,,,16387.6242
2026-03-19,6.8975,,2.833,2.7777,,,,,659.8,,,,,0.0,0.0,,,,,16405.0352
2026-03-18,6.8909,,2.87,2.7825,,,,,661.43,,,,,0.0,0.0,,,,,16406.1623
2026-03-17,6.8961,,2.853,2.8206,,,,,670.79,,,,,0.0,0.0,,,,,16420.2038
2026-03-16,6.9057,,2.862,2.8174,,,,,669.03,,,,,0.0,0.0,,,,,16420.7808
2026-03-13,6.9007,,2.865,,,,,,662.29,,,,,0.0,0.0,,,,,16410.9125
2026-03-12,6.8959,,2.881,,,,,,666.06,,,,,0.0,0.0,,,,,16415.8833
2026-03-11,6.8917,,2.888,,,,,,676.33,,,,,0.0,0.0,,,,,16429.8007
2026-03-10,6.8982,,2.881,,,,,,677.18,,,,,0.0,0.0,,,,,16433.0647
2026-03-09,6.9158,,2.864,,,,,,678.27,,,,,0.0,0.0,,,,,16444.3893
2026-03-06,6.9025,,2.927,,,,,,672.38,,,,,0.0,0.0,,,,,16431.6703
2026-03-05,6.9007,,2.931,,,,,,681.31,,,,,0.0,0.0,,,,,16446.2791
2026-03-04,6.9124,,2.903,,,,,,685.13,,,,,0.0,0.0,,,,,16456.3271
2026-03-03,6.9088,,2.927,,,,,,680.33,,,,,0.0,0.0,,,,,16446.5628
2026-03-02,6.9236,,2.926,,,,,,,,,,,0.0,0.0,,,,,16461.8681
2026-02-27,6.9228,,,,,,,,,,,,,0.0,0.0,,,,,16464.2199
2026-02-26,6.9228,,,,,,,,,,,,,0.0,0.0,,,,,16469.9226
2026-02-25,6.9321,,,,,,,,,,,,,0.0,0.0,,,,,16479.437
2026-02-24,6.9414,,,,,,,,,,,,,0.0,0.0,,,,,16473.7981
2026-02-13,6.9398,,,,,,,,,,,,,0.0,0.0,,,,,16464.2209
2026-02-12,6.9457,,,,,,,,,,,,,0.0,0.0,,,,,16465.4268
2026-02-11,6.9438,,,,,,,,,,,,,0.0,0.0,,,,,16484.8937
2026-02-10,6.9458,,,,,,,,,,,,,0.0,0.0,,,,,16485.3749
2026-02-09,6.9523,,,,,,,,,,,,,0.0,0.0,,,,,16491.2188
2026-02-06,6.959,,,,,,,,,,,,,0.0,0.0,,,,,16487.8753
2026-02-05,6.957,,,,,,,,,,,,,0.0,0.0,,,,,16464.1167
2026-02-04,6.9533,,,,,,,,,,,,,0.0,0.0,,,,,16477.0592
2026-02-03,6.9608,,,,,,,,,,,,,0.0,0.0,,,,,16483.5835
2026-02-02,6.9695,,,,,,,,,,,,,0.0,0.0,,,,,16494.9954
2026-01-30,6.9678,,,,,,,,,,,,,0.0,0.0,,,,,16487.5607
2026-01-29,6.9771,,,,,,,,,,,,,0.0,0.0,,,,,16496.5151
2026-01-28,6.9755,,,,,,,,,,,,,0.0,0.0,,,,,16496.1693
2026-01-27,6.9858,,,,,,,,,,,,,0.0,0.0,,,,,16499.5108
2026-01-26,6.9843,,,,,,,,,,,,,0.0,0.0,,,,,16494.2207
2026-01-23,6.9929,,,,,,,,,,,,,0.0,0.0,,,,,16490.5437
2026-01-22,7.0019,,,,,,,,,,,,,0.0,0.0,,,,,16493.9983
2026-01-21,7.0014,,,,,,,,,,,,,0.0,0.0,,,,,16487.6414
2026-01-20,7.0006,,,,,,,,,,,,,0.0,0.0,,,,,16475.225
2026-01-19,,,,,,,,,,,,,,0.0,0.0,,,,,
2026-01-16,7.0078,,,,,,,,,,,,,0.0,0.0,,,,,16498.4737
2026-01-15,7.0064,,,,,,,,,,,,,0.0,0.0,,,,,16499.0627
2026-01-14,7.012,,,,,,,,,,,,,0.0,0.0,,,,,16497.1706
2026-01-13,7.0103,,,,,,,,,,,,,0.0,0.0,,,,,16502.014
2026-01-12,7.0108,,,,,,,,,,,,,0.0,0.0,,,,,16503.4563
2026-01-09,7.0128,,,,,,,,,,,,,0.0,0.0,,,,,16502.7622
2026-01-08,7.0197,,,,,,,,,,,,,0.0,0.0,,,,,16497.9874
2026-01-07,7.0187,,,,,,,,,,,,,0.0,0.0,,,,,16496.6151
2026-01-06,7.0173,,,,,,,,,,,,,0.0,0.0,,,,,16499.2667
2026-01-05,7.023,,,,,,,,,,,,,0.0,0.0,,,,,16495.3024
