日期,人民币中间价,仓位,收盘价,净值,变化比例,校准值,对冲值,ETF静态估值,ETF静态估值误差,ETF静态溢价,XBI,XBI权重,161127官方校准
2026-04-20,6.8648,95.0,1.848,,,0.0,0.0,,,,,100.0,
2026-04-17,6.8622,95.0,1.83,1.8769,2.2597%,506.9962565933187,533.6802700982303,1.8773,0.02%,-2.52%,138.67,100.0,
2026-04-16,6.8616,95.0,1.838,1.8358,-0.6425%,506.30370192831464,532.9512651876996,1.836,0.01%,0.11%,135.46,100.0,
2026-04-15,6.8582,95.0,1.834,1.8479,0.4957%,506.4134368742897,533.0667756571471,1.8483,0.02%,-0.77%,136.45,100.0,506.525894
2026-04-14,6.8593,95.0,1.781,1.8392,2.5493%,506.1680056546325,532.8084270048763,1.8391,-0.00%,-3.16%,135.72,100.0,506.381699
2026-04-13,6.8657,95.0,1.739,1.7934,1.9198%,505.5289868406379,532.1357756217242,1.7932,-0.01%,-3.02%,132.05,100.0,505.675623
2026-04-10,6.8654,95.0,1.775,1.7594,-1.7084%,505.09115380243264,531.6748987394028,1.7599,0.03%,0.86%,129.44,100.0,505.060319
2026-04-09,6.8649,95.0,1.761,1.7905,0.8075%,505.40693549287903,532.0073005188201,1.7891,-0.08%,-1.57%,131.82,100.0,505.568726
2026-04-08,6.868,95.0,1.802,1.7748,1.0837%,505.580459770115,532.1899576527527,1.7761,0.08%,1.46%,130.65,100.0,505.313069
2026-04-07,6.8854,95.0,1.736,1.7571,-0.1169%,504.91365886972847,531.4880619681353,1.7578,0.04%,-1.24%,128.85,100.0,505.074346
2026-04-03,6.8929,95.0,1.745,1.7612,,0.0,0.0,,,,,100.0,
2026-04-02,6.888,,1.716,1.7599,,0.0,0.0,,,,128.96,,505.047471
2026-04-01,6.9025,,1.743,1.7569,,0.0,0.0,,,,128.55,,504.9554
2026-03-31,6.9194,,1.646,1.7503,,0.0,0.0,,,,127.73,,504.8434
2026-03-30,6.9223,,1.647,1.6354,,0.0,0.0,,,,118.78,,502.9651
2026-03-27,6.9141,,1.696,1.6434,,0.0,0.0,,,,119.59,,503.0822
2026-03-26,6.9056,,1.674,1.6981,,0.0,0.0,,,,123.9,,503.9522
2026-03-25,6.8911,,1.653,1.6942,,0.0,0.0,,,,123.92,,503.9866
2026-03-24,6.8943,,1.653,1.6382,,0.0,0.0,,,,119.54,,502.9691
2026-03-23,6.9041,,1.626,1.6695,,0.0,0.0,,,,121.7,,503.4241
2026-03-20,6.8898,,1.667,1.6524,,0.0,0.0,,,,120.31,,501.6274
2026-03-19,6.8975,,1.66,1.6808,,0.0,0.0,,,,122.33,,502.0509
2026-03-18,6.8909,,1.704,1.6632,,0.0,0.0,,,,121.11,,501.7609
2026-03-17,6.8961,,1.682,1.7046,,0.0,0.0,,,,124.19,,502.3889
2026-03-16,6.9057,,1.692,1.7029,,0.0,0.0,,,,123.91,,502.3042
2026-03-13,6.9007,,1.692,,,0.0,0.0,,,,121.83,,501.8476
2026-03-12,6.8959,,1.71,,,0.0,0.0,,,,122.62,,501.997
2026-03-11,6.8917,,1.737,,,0.0,0.0,,,,126.38,,502.739
2026-03-10,6.8982,,1.721,,,0.0,0.0,,,,127.43,,502.9101
2026-03-09,6.9158,,1.677,,,0.0,0.0,,,,127.12,,502.8399
2026-03-06,6.9025,,1.705,,,0.0,0.0,,,,124.0,,502.129
2026-03-05,6.9007,,1.717,,,0.0,0.0,,,,123.9,,502.0542
2026-03-04,6.9124,,1.685,,,0.0,0.0,,,,126.42,,502.6612
2026-03-03,6.9088,,1.716,,,0.0,0.0,,,,123.5,,501.9184
2026-03-02,6.9236,,1.726,,,0.0,0.0,,,,,,502.7403
2026-02-27,6.9228,,,,,0.0,0.0,,,,,,502.5835
2026-02-26,6.9228,,,,,0.0,0.0,,,,,,502.7544
2026-02-25,6.9321,,,,,0.0,0.0,,,,,,502.85
2026-02-24,6.9414,,,,,0.0,0.0,,,,,,502.924
2026-02-13,6.9398,,,,,0.0,0.0,,,,,,501.567
2026-02-12,6.9457,,,,,0.0,0.0,,,,,,501.6331
2026-02-11,6.9438,,,,,0.0,0.0,,,,,,501.9565
2026-02-10,6.9458,,,,,0.0,0.0,,,,,,502.0052
2026-02-09,6.9523,,,,,0.0,0.0,,,,,,502.174
2026-02-06,6.959,,,,,0.0,0.0,,,,,,502.0665
2026-02-05,6.957,,,,,0.0,0.0,,,,,,501.0696
2026-02-04,6.9533,,,,,0.0,0.0,,,,,,502.0255
2026-02-03,6.9608,,,,,0.0,0.0,,,,,,502.5063
2026-02-02,6.9695,,,,,0.0,0.0,,,,,,502.4241
2026-01-30,6.9678,,,,,0.0,0.0,,,,,,501.8043
2026-01-29,6.9771,,,,,0.0,0.0,,,,,,502.1234
2026-01-28,6.9755,,,,,0.0,0.0,,,,,,501.8634
2026-01-27,6.9858,,,,,0.0,0.0,,,,,,502.2456
2026-01-26,6.9843,,,,,0.0,0.0,,,,,,502.0648
2026-01-23,6.9929,,,,,0.0,0.0,,,,,,502.0339
2026-01-22,7.0019,,,,,0.0,0.0,,,,,,502.6812
2026-01-21,7.0014,,,,,0.0,0.0,,,,,,501.9165
2026-01-20,7.0006,,,,,0.0,0.0,,,,,,501.2718
2026-01-19,,,,,,0.0,0.0,,,,,,
2026-01-16,7.0078,,,,,0.0,0.0,,,,,,500.9452
2026-01-15,7.0064,,,,,0.0,0.0,,,,,,500.9506
2026-01-14,7.012,,,,,0.0,0.0,,,,,,501.3517
2026-01-13,7.0103,,,,,0.0,0.0,,,,,,500.7472
2026-01-12,7.0108,,,,,0.0,0.0,,,,,,500.7725
2026-01-09,7.0128,,,,,0.0,0.0,,,,,,500.9195
2026-01-08,7.0197,,,,,0.0,0.0,,,,,,500.688
2026-01-07,7.0187,,,,,0.0,0.0,,,,,,501.5227
2026-01-06,7.0173,,,,,0.0,0.0,,,,,,500.1782
2026-01-05,7.023,,,,,0.0,0.0,,,,,,499.6579
