日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,^USO-EU,^USO-EU权重,^USO-JP,^USO-JP权重,USO,USO权重,^USO-HK,^USO-HK权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,原油期货校准
2026-04-20,6.8648,56.00000000000001,1.972,,,,,,,40.0,121.41,35.0,,19.0,121.9,6.0,341.918526,610.5687964285713,,,,,0.7283
2026-04-17,6.8622,56.00000000000001,1.99,1.5486,-2.6262%,1.6016,3.42%,24.25%,113.55,40.0,126.2,35.0,116.04,19.0,126.12,6.0,528.223672065091,943.256557259091,83.85,1.5394,-0.59%,29.27%,
2026-04-16,6.8616,56.00000000000001,2.036,1.6448,0.9896%,1.6394,-0.33%,24.19%,126.44,40.0,123.39,35.0,125.84,19.0,124.82,6.0,522.134469892996,932.3829819517784,94.69,1.6576,0.78%,22.83%,0.7418
2026-04-15,6.8582,56.00000000000001,2.075,1.6233,-0.9692%,1.6095,-0.85%,28.92%,124.92,40.0,121.43,35.0,122.59,19.0,121.55,6.0,519.8830773855727,928.3626381885226,91.29,1.6253,0.12%,27.67%,0.7425
2026-04-14,6.8593,56.00000000000001,2.173,1.6253,-2.9200%,1.6274,0.13%,33.53%,125.24,40.0,125.98,35.0,123.85,19.0,124.78,6.0,528.4159434504398,943.5998990186425,91.28,1.6016,-1.46%,35.68%,0.7468
2026-04-13,6.8657,56.00000000000001,2.286,1.6763,2.6894%,1.6648,-0.69%,37.31%,132.81,40.0,132.82,35.0,128.47,19.0,132.75,6.0,540.578341710911,965.3184673409124,99.08,1.6448,-1.88%,38.98%,0.7727
2026-04-10,6.8654,56.00000000000001,2.209,1.6212,-0.5049%,1.6197,-0.09%,36.38%,126.43,40.0,125.81,35.0,124.82,19.0,126.96,6.0,533.3215667776956,952.3599406744563,96.57,1.6159,-0.33%,36.71%,0.7798
2026-04-09,6.8649,56.00000000000001,2.312,1.6279,3.1213%,1.6505,1.39%,40.08%,128.54,40.0,125.86,35.0,126.96,19.0,125.25,6.0,536.0028229989557,957.1478982124208,97.87,1.6329,0.31%,41.59%,0.7838
2026-04-08,6.868,100.0,2.174,1.6005,-14.7764%,1.4831,-7.33%,46.58%,123.19,40.0,115.63,35.0,124.58,19.0,116.97,6.0,516.80530659169,516.80530659169,94.41,1.451,-9.34%,49.83%,0.7757
2026-04-07,6.8854,100.0,2.416,1.7403,4.4241%,1.7859,2.62%,35.28%,142.41,40.0,142.36,35.0,138.08,19.0,133.27,6.0,557.9433129690282,557.9433129690282,112.95,1.7312,-0.52%,39.56%,0.8153
2026-04-03,6.8929,100.0,2.213,1.7111,,,,,,40.0,,35.0,,19.0,,6.0,0.0,0.0,,,,,0.8112
2026-04-02,6.888,100.0,2.119,1.7102,8.5062%,1.7708,3.54%,19.66%,136.06,40.0,132.6,35.0,137.92,19.0,133.27,6.0,543.866845982926,543.866845982926,111.54,1.8143,6.09%,16.79%,0.8012
2026-04-01,6.9025,100.0,1.96,1.632,-3.6533%,1.6505,1.13%,18.75%,124.76,40.0,123.92,35.0,124.09,19.0,122.22,6.0,525.2426076899511,525.2426076899511,100.12,1.6877,3.41%,16.14%,0.8014
2026-03-31,6.9194,100.0,2.178,1.7131,1.0020%,1.7654,3.05%,23.37%,130.34,40.0,127.57,35.0,127.25,19.0,127.13,6.0,519.3924356546611,519.3924356546611,101.38,1.7217,0.50%,26.50%,0.8005
2026-03-30,6.9223,100.0,2.316,1.7479,5.6676%,1.807,3.38%,28.17%,127.61,40.0,125.65,35.0,129.83,19.0,126.47,6.0,504.06335947136563,504.06335947136563,102.88,1.7678,1.14%,31.01%,0.8005
2026-03-27,6.9141,100.0,2.26,1.7101,3.4193%,1.7291,1.11%,30.71%,122.47,40.0,116.97,35.0,124.2,19.0,118.47,6.0,487.7337378925209,487.7337378925209,99.64,1.7654,3.23%,28.02%,0.8005
2026-03-26,6.9056,100.0,2.389,1.6719,4.5690%,1.6801,0.49%,42.19%,118.42,40.0,114.83,35.0,117.26,19.0,115.63,6.0,482.3292505054131,482.3292505054131,94.48,1.6842,0.74%,41.84%,0.8005
2026-03-25,6.8911,100.0,2.308,1.6067,-2.1063%,1.6023,-0.27%,44.04%,112.14,40.0,111.27,35.0,113.39,19.0,109.41,6.0,479.9760304475011,479.9760304475011,90.32,,,,0.8005
