日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,GLD,GLD权重,USO,USO权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价
2026-04-20,6.8648,100.0,2.881,2.2875,,,,,,50.0,,50.0,0.0,0.0,,,,
2026-04-17,6.8622,100.0,2.874,2.2192,-3.2207%,2.1719,-2.13%,32.33%,445.93,50.0,116.04,50.0,0.0,0.0,,,,
2026-04-16,6.8616,100.0,2.902,2.2442,1.3326%,2.2556,0.51%,28.66%,440.08,50.0,125.84,50.0,0.0,0.0,,,,
2026-04-15,6.8582,100.0,2.876,2.2259,-1.0447%,2.0916,-6.03%,37.50%,440.46,50.0,122.59,50.0,0.0,0.0,,,,
2026-04-14,6.8593,100.0,2.855,2.1137,-0.7732%,2.0957,-0.85%,36.23%,445.09,50.0,123.85,50.0,0.0,0.0,,,,
2026-04-13,6.8657,100.0,2.824,2.112,1.2641%,2.1317,0.93%,32.48%,435.36,50.0,128.47,50.0,0.0,0.0,,,,
2026-04-10,6.8654,100.0,2.87,2.1051,-0.9246%,2.0778,-1.30%,38.13%,437.13,50.0,124.82,50.0,0.0,0.0,,,,
2026-04-09,6.8649,100.0,2.873,2.0972,1.2984%,2.0847,-0.60%,37.81%,437.91,50.0,126.96,50.0,0.0,0.0,,,,
2026-04-08,6.868,100.0,2.995,2.058,-4.8147%,1.935,-5.98%,54.78%,434.53,50.0,124.58,50.0,0.0,0.0,,,,
2026-04-07,6.8854,100.0,2.754,2.0329,0.2996%,2.082,2.42%,32.28%,431.81,50.0,138.08,50.0,0.0,0.0,,,,
2026-04-03,6.8929,100.0,2.766,2.0243,,,,,,50.0,,50.0,0.0,0.0,,,,
2026-04-02,6.888,100.0,2.796,2.0758,4.3924%,2.2069,6.31%,26.70%,429.41,50.0,137.92,50.0,0.0,0.0,,,,
2026-04-01,6.9025,100.0,2.929,2.114,-0.6100%,2.0286,-4.04%,44.38%,437.82,50.0,124.09,50.0,0.0,0.0,,,,
2026-03-31,6.9194,100.0,2.737,2.0411,0.8588%,2.0002,-2.00%,36.83%,430.29,50.0,127.25,50.0,0.0,0.0,,,,
2026-03-30,6.9223,100.0,2.722,1.9832,2.3733%,1.9964,0.66%,36.35%,414.58,50.0,129.83,50.0,0.0,0.0,,,,
2026-03-27,6.9141,100.0,2.691,1.9501,4.8428%,2.1175,8.58%,27.08%,414.7,50.0,124.2,50.0,0.0,0.0,,,,
2026-03-26,6.9056,100.0,2.64,2.0197,0.0369%,1.992,-1.37%,32.53%,400.64,50.0,117.26,50.0,0.0,0.0,,,,
