日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,GLD,GLD权重,USO,USO权重,^USO-EU,^USO-EU权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,黄金期货校准
2026-04-20,6.8648,73.0,1.164,,,,,,,75.0,,15.0,,10.0,0.0,0.0,,,,,10.9349
2026-04-17,6.8622,73.0,1.17,1.181,-0.8629%,1.1698,-0.95%,0.02%,445.93,75.0,116.04,15.0,113.55,10.0,2110.422835478408,2890.9901855868607,4879.6,1.1928,1.00%,-1.92%,
2026-04-16,6.8616,73.0,1.17,1.18,0.3682%,1.1823,0.20%,-1.04%,440.08,75.0,125.84,15.0,126.44,10.0,2102.557057627119,2880.2151474344096,4808.3,1.1757,-0.36%,-0.48%,10.9362
2026-04-15,6.8582,73.0,1.161,1.178,-0.7112%,1.1766,-0.12%,-1.32%,440.46,75.0,122.59,15.0,124.92,10.0,2103.0192904074706,2880.8483430239326,4823.6,1.1801,0.18%,-1.62%,10.933
2026-04-14,6.8593,73.0,1.163,1.185,0.3453%,1.1801,-0.42%,-1.45%,445.09,75.0,123.85,15.0,125.24,10.0,2112.3113052320673,2893.5771304548866,4850.1,1.1901,0.43%,-2.28%,10.9425
2026-04-13,6.8657,73.0,1.17,1.176,0.4701%,1.1775,0.13%,-0.64%,435.36,75.0,128.47,15.0,132.81,10.0,2096.324147576531,2871.6769144883983,4767.4,1.1685,-0.64%,0.13%,10.9467
2026-04-10,6.8654,73.0,1.155,1.172,-0.3966%,1.1693,-0.23%,-1.23%,437.13,75.0,124.82,15.0,126.43,10.0,2104.2187396757677,2882.4914242133805,4787.4,1.1686,-0.29%,-1.17%,10.9451
2026-04-09,6.8649,73.0,1.154,1.174,0.9187%,1.1757,0.15%,-1.85%,437.91,75.0,126.96,15.0,128.54,10.0,2107.0126485945484,2886.318696704861,4818.0,1.1719,-0.18%,-1.53%,10.9496
2026-04-08,6.868,100.0,1.159,1.165,-1.7885%,1.1599,-0.44%,-0.08%,434.53,75.0,124.58,15.0,123.19,10.0,2104.0456978540774,2104.0456978540774,4777.2,1.2021,3.18%,-3.59%,10.9381
2026-04-07,6.8854,100.0,1.189,,0.8648%,1.1912,,-0.19%,431.81,75.0,138.08,15.0,142.41,10.0,2470.5538167,2470.5538167,4684.7,1.1818,,0.61%,10.9457
