日期,人民币中间价,仓位,收盘价,净值,变化比例,校准值,对冲值,ETF静态估值,ETF静态估值误差,ETF静态溢价,XLY,XLY权重,162415官方校准
2026-04-20,6.8648,94.0,2.945,,,0.0,0.0,,,,,100.0,
2026-04-17,6.8622,94.0,2.9,2.992,2.2300%,276.1622667112299,293.7896454374786,2.9923,0.01%,-3.08%,120.41,100.0,
2026-04-16,6.8616,94.0,2.923,2.927,-0.3911%,275.7533337888623,293.3546104136833,2.9255,-0.05%,-0.09%,117.63,100.0,
2026-04-15,6.8582,94.0,2.872,2.937,1.3894%,275.96257269322444,293.57720499279196,2.9373,0.01%,-2.22%,118.18,100.0,275.931752
2026-04-14,6.8593,94.0,2.817,2.897,1.9898%,275.69792613047986,293.29566609625516,2.8975,0.02%,-2.78%,116.44,100.0,275.66099
2026-04-13,6.8657,94.0,2.777,2.841,0.8618%,275.3046617388244,292.8772997221536,2.8413,0.01%,-2.26%,113.92,100.0,
2026-04-10,6.8654,94.0,2.795,2.817,0.1319%,275.127797657082,292.68914644370426,2.8177,0.03%,-0.81%,112.89,100.0,
2026-04-09,6.8649,94.0,2.753,2.814,1.5854%,275.03511940298506,292.59055255636713,2.8139,-0.00%,-2.16%,112.74,100.0,
2026-04-08,6.868,94.0,2.792,2.77,2.4160%,274.7695884476534,292.30807281665255,2.7693,-0.02%,0.82%,110.82,100.0,
2026-04-07,6.8854,94.0,2.71,2.704,-0.3656%,274.4229134615384,291.93926963993454,2.7061,0.08%,0.15%,107.77,100.0,
2026-04-03,6.8929,94.0,2.703,2.717,,0.0,0.0,,,,,100.0,
2026-04-02,6.888,94.0,2.71,2.716,-1.6071%,274.2773195876289,291.7843825400307,2.7156,-0.01%,-0.21%,108.15,100.0,
2026-04-01,6.9025,94.0,2.757,2.76,0.4760%,274.59945652173917,292.1270814061055,2.7591,-0.03%,-0.08%,109.8,100.0,
2026-03-31,6.9194,94.0,2.678,2.746,2.9130%,274.6089628550619,292.13719452666163,2.7457,-0.01%,-2.47%,108.98,100.0,
2026-03-30,6.9223,94.0,2.675,2.668,0.0937%,274.1417608695652,291.64017113783535,2.6685,0.02%,0.24%,105.66,100.0,
2026-03-27,6.9141,94.0,2.742,2.666,-2.6084%,274.0743015753939,291.56840593127015,2.6646,-0.05%,2.90%,105.68,100.0,
2026-03-26,6.9056,94.0,2.751,2.736,-1.4185%,274.6843742690058,292.21741943511256,2.7366,0.02%,0.53%,108.83,100.0,
2026-03-25,6.8911,94.0,2.759,2.776,0.8558%,274.87446073487035,292.41963907964936,2.7766,0.02%,-0.63%,110.73,100.0,
2026-03-24,6.8943,94.0,2.741,2.753,-0.5085%,274.67011405739197,292.2022489972255,2.7529,-0.00%,-0.43%,109.68,100.0,
2026-03-23,6.9041,94.0,2.654,2.767,2.2759%,274.7667119624142,292.3050127259726,2.7625,-0.16%,-3.93%,110.12,100.0,
2026-03-20,6.8898,94.0,2.756,2.701,-1.7826%,274.8267500925583,292.3688830771897,2.701,-0.00%,2.04%,107.74,100.0,
2026-03-19,6.8975,94.0,2.781,2.75,-0.6503%,275.1475454545455,292.7101547388782,2.75,-0.00%,1.13%,109.7,100.0,
2026-03-18,6.8909,94.0,2.833,2.768,-2.2369%,275.26257695086707,292.8325286711352,2.7677,-0.01%,2.36%,110.57,100.0,
2026-03-17,6.8961,,2.802,2.831,,0.0,0.0,,,,113.18,,
2026-03-16,6.9057,,2.807,,,0.0,0.0,,,,112.2,,
2026-03-13,6.9007,,2.816,,,0.0,0.0,,,,110.86,,
2026-03-12,6.8959,,2.851,,,0.0,0.0,,,,111.52,,
2026-03-11,6.8917,,2.874,,,0.0,0.0,,,,114.14,,
2026-03-10,6.8982,,2.867,,,0.0,0.0,,,,114.44,,
2026-03-09,6.9158,,2.848,,,0.0,0.0,,,,114.59,,
2026-03-06,6.9025,,2.907,,,0.0,0.0,,,,114.44,,
2026-03-05,6.9007,,2.887,,,0.0,0.0,,,,116.55,,
2026-03-04,6.9124,,2.844,,,0.0,0.0,,,,116.39,,
2026-03-03,6.9088,,2.873,,,0.0,0.0,,,,114.36,,
2026-03-02,6.9236,,,,,0.0,0.0,,,,,,
2026-02-27,6.9228,,,,,0.0,0.0,,,,,,
2026-02-26,6.9228,,,,,0.0,0.0,,,,,,
2026-02-25,6.9321,,,,,0.0,0.0,,,,,,
2026-02-24,6.9414,,,,,0.0,0.0,,,,,,
2026-02-13,6.9398,,,,,0.0,0.0,,,,,,
2026-02-12,6.9457,,,,,0.0,0.0,,,,,,
2026-02-11,6.9438,,,,,0.0,0.0,,,,,,
2026-02-10,6.9458,,,,,0.0,0.0,,,,,,
2026-02-09,6.9523,,,,,0.0,0.0,,,,,,
2026-02-06,6.959,,,,,0.0,0.0,,,,,,
2026-02-05,6.957,,,,,0.0,0.0,,,,,,
2026-02-04,6.9533,,,,,0.0,0.0,,,,,,
2026-02-03,6.9608,,,,,0.0,0.0,,,,,,
2026-02-02,6.9695,,,,,0.0,0.0,,,,,,
2026-01-30,6.9678,,,,,0.0,0.0,,,,,,
2026-01-29,6.9771,,,,,0.0,0.0,,,,,,
2026-01-28,6.9755,,,,,0.0,0.0,,,,,,
2026-01-27,6.9858,,,,,0.0,0.0,,,,,,
2026-01-26,6.9843,,,,,0.0,0.0,,,,,,
2026-01-23,6.9929,,,,,0.0,0.0,,,,,,
2026-01-22,7.0019,,,,,0.0,0.0,,,,,,
2026-01-21,7.0014,,,,,0.0,0.0,,,,,,
2026-01-20,7.0006,,,,,0.0,0.0,,,,,,
2026-01-19,,,,,,0.0,0.0,,,,,,
2026-01-16,7.0078,,,,,0.0,0.0,,,,,,
2026-01-15,7.0064,,,,,0.0,0.0,,,,,,
2026-01-14,7.012,,,,,0.0,0.0,,,,,,
2026-01-13,7.0103,,,,,0.0,0.0,,,,,,
2026-01-12,7.0108,,,,,0.0,0.0,,,,,,
2026-01-09,7.0128,,,,,0.0,0.0,,,,,,
2026-01-08,7.0197,,,,,0.0,0.0,,,,,,
2026-01-07,7.0187,,,,,0.0,0.0,,,,,,
2026-01-06,7.0173,,,,,0.0,0.0,,,,,,
2026-01-05,7.023,,,,,0.0,0.0,,,,,,
