日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,GLD,GLD权重,SLV,SLV权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,黄金期货校准
2026-04-20,6.8648,98.0,1.893,,,,,,,99.0,,1.0,0.0,0.0,,,,,10.9349
2026-04-17,6.8622,98.0,1.891,1.93,1.3313%,1.9304,0.02%,-2.04%,445.93,99.0,73.63,1.0,1572.2864639378238,1604.3739427936978,4879.6,1.9328,0.15%,-2.17%,
2026-04-16,6.8616,98.0,1.908,1.905,-0.0433%,1.9052,0.01%,0.15%,440.08,99.0,71.24,1.0,1571.8344370393702,1603.9126908565001,4808.3,1.901,-0.21%,0.37%,10.9362
2026-04-15,6.8582,98.0,1.906,1.906,-1.0275%,1.9062,0.01%,-0.01%,440.46,99.0,71.84,1.0,1571.6065452046169,1603.6801481679763,4823.6,1.9154,0.49%,-0.49%,10.933
2026-04-14,6.8593,98.0,1.894,1.926,2.1289%,1.9272,0.06%,-1.72%,445.09,99.0,72.04,1.0,1571.867714615784,1603.9466475671265,4850.1,1.9173,-0.45%,-1.22%,10.9425
2026-04-13,6.8657,98.0,1.875,1.887,-0.3999%,1.8864,-0.03%,-0.61%,435.36,99.0,68.28,1.0,1570.6669530683623,1602.7213806820023,4767.4,1.8863,-0.04%,-0.60%,10.9467
2026-04-10,6.8654,98.0,1.881,1.894,-0.1558%,1.894,0.00%,-0.69%,437.13,99.0,69.08,1.0,1571.174338595565,1603.2391210158826,4787.4,1.8853,-0.46%,-0.23%,10.9451
2026-04-09,6.8649,98.0,1.875,1.897,0.7235%,1.8976,0.03%,-1.19%,437.91,99.0,68.39,1.0,1571.3448500369002,1603.4131122825513,4818.0,1.8989,0.10%,-1.26%,10.9496
2026-04-08,6.868,100.0,1.912,1.884,0.3925%,1.8844,0.02%,1.47%,434.53,99.0,67.47,1.0,1570.6700420382165,1570.6700420382165,4777.2,1.9092,1.34%,0.15%,10.9381
2026-04-07,6.8854,100.0,1.854,1.877,0.5176%,1.8767,-0.02%,-1.21%,431.81,99.0,65.94,1.0,1570.5876190836439,1570.5876190836439,4684.7,1.8683,-0.46%,-0.76%,10.9457
2026-04-03,6.8929,100.0,1.853,1.868,,,,,,99.0,,1.0,0.0,0.0,,,,,10.9317
2026-04-02,6.888,,1.843,1.867,,,,,429.41,,65.79,,0.0,0.0,,,,,10.9561
2026-04-01,6.9025,,1.902,1.907,,,,,437.82,,68.14,,0.0,0.0,,,,,10.9611
2026-03-31,6.9194,,1.836,1.88,,,,,430.29,,68.14,,0.0,0.0,,,,,10.9622
2026-03-30,6.9223,,1.818,1.813,,,,,414.58,,63.52,,0.0,0.0,,,,,10.9624
2026-03-27,6.9141,,1.787,1.811,,,,,414.7,,63.44,,0.0,0.0,,,,,10.9624
2026-03-26,6.9056,,1.781,1.749,,,,,400.64,,60.77,,0.0,0.0,,,,,10.9624
2026-03-25,6.8911,,1.815,1.813,,,,,416.29,,65.21,,0.0,0.0,,,,,10.9624
2026-03-24,6.8943,,1.751,1.762,,,,,404.13,,62.95,,0.0,0.0,,,,,10.9624
2026-03-23,6.9041,,1.682,1.764,,,,,404.04,,62.47,,0.0,0.0,,,,,10.9624
2026-03-20,6.8898,,1.858,1.8,,,,,413.38,,61.52,,0.0,0.0,,,,,10.9624
2026-03-19,6.8975,,1.894,1.858,,,,,426.41,,65.68,,0.0,0.0,,,,,10.9624
2026-03-18,6.8909,,1.99,1.936,,,,,444.74,,68.7,,0.0,0.0,,,,,10.9624
2026-03-17,6.8961,,1.993,2.0,,,,,459.27,,71.66,,0.0,0.0,,,,,10.9624
2026-03-16,6.9057,,1.995,2.008,,,,,460.43,,73.22,,0.0,0.0,,,,,10.9624
2026-03-13,6.9007,,2.028,,,,,,460.84,,72.69,,0.0,0.0,,,,,10.9624
2026-03-12,6.8959,,2.056,,,,,,466.88,,76.48,,0.0,0.0,,,,,10.9624
2026-03-11,6.8917,,2.069,,,,,,476.24,,77.91,,0.0,0.0,,,,,10.9624
2026-03-10,6.8982,,2.063,,,,,,477.86,,80.09,,0.0,0.0,,,,,10.9624
2026-03-09,6.9158,,2.041,,,,,,472.53,,78.26,,0.0,0.0,,,,,10.9624
2026-03-06,6.9025,,2.051,,,,,,473.51,,75.94,,0.0,0.0,,,,,10.9624
2026-03-05,6.9007,,2.071,,,,,,466.13,,74.27,,0.0,0.0,,,,,10.9624
2026-03-04,6.9124,,2.081,,,,,,471.8,,75.34,,0.0,0.0,,,,,10.9624
2026-03-03,6.9088,,2.13,,,,,,468.14,,74.68,,0.0,0.0,,,,,10.9624
2026-03-02,6.9236,,2.178,,,,,,490.0,,,,0.0,0.0,,,,,10.9624
2026-02-27,6.9228,,,,,,,,483.75,,,,0.0,0.0,,,,,10.9624
2026-02-26,6.9228,,,,,,,,477.48,,,,0.0,0.0,,,,,10.9624
2026-02-25,6.9321,,,,,,,,473.42,,,,0.0,0.0,,,,,10.9624
2026-02-24,6.9414,,,,,,,,474.61,,,,0.0,0.0,,,,,10.9624
2026-02-13,6.9398,,,,,,,,462.62,,,,0.0,0.0,,,,,10.9624
2026-02-12,6.9457,,,,,,,,451.39,,,,0.0,0.0,,,,,10.9624
2026-02-11,6.9438,,,,,,,,467.63,,,,0.0,0.0,,,,,10.9624
2026-02-10,6.9458,,,,,,,,462.4,,,,0.0,0.0,,,,,10.9624
2026-02-09,6.9523,,,,,,,,467.03,,,,0.0,0.0,,,,,10.9624
2026-02-06,6.959,,,,,,,,455.46,,,,0.0,0.0,,,,,10.9624
2026-02-05,6.957,,,,,,,,441.88,,,,0.0,0.0,,,,,10.9624
2026-02-04,6.9533,,,,,,,,453.97,,,,0.0,0.0,,,,,10.9624
2026-02-03,6.9608,,,,,,,,454.29,,,,0.0,0.0,,,,,10.9624
2026-02-02,6.9695,,,,,,,,427.13,,,,0.0,0.0,,,,,10.9624
2026-01-30,6.9678,,,,,,,,444.95,,,,0.0,0.0,,,,,10.9624
2026-01-29,6.9771,,,,,,,,495.9,,,,0.0,0.0,,,,,10.9624
2026-01-28,6.9755,,,,,,,,494.56,,,,0.0,0.0,,,,,10.9624
2026-01-27,6.9858,,,,,,,,476.1,,,,0.0,0.0,,,,,10.9624
2026-01-26,6.9843,,,,,,,,464.7,,,,0.0,0.0,,,,,10.9624
2026-01-23,6.9929,,,,,,,,458.0,,,,0.0,0.0,,,,,10.9624
2026-01-22,7.0019,,,,,,,,451.79,,,,0.0,0.0,,,,,10.9624
2026-01-21,7.0014,,,,,,,,443.6,,,,0.0,0.0,,,,,10.9624
2026-01-20,7.0006,,,,,,,,437.23,,,,0.0,0.0,,,,,10.9624
2026-01-19,,,,,,,,,,,,,0.0,0.0,,,,,
2026-01-16,7.0078,,,,,,,,421.29,,,,0.0,0.0,,,,,10.9624
2026-01-15,7.0064,,,,,,,,423.33,,,,0.0,0.0,,,,,10.9624
2026-01-14,7.012,,,,,,,,425.94,,,,0.0,0.0,,,,,10.9624
2026-01-13,7.0103,,,,,,,,421.63,,,,0.0,0.0,,,,,10.9624
2026-01-12,7.0108,,,,,,,,422.23,,,,0.0,0.0,,,,,10.9624
2026-01-09,7.0128,,,,,,,,414.47,,,,0.0,0.0,,,,,10.9624
2026-01-08,7.0197,,,,,,,,411.49,,,,0.0,0.0,,,,,10.9624
2026-01-07,7.0187,,,,,,,,409.23,,,,0.0,0.0,,,,,10.9624
2026-01-06,7.0173,,,,,,,,413.18,,,,0.0,0.0,,,,,10.9624
2026-01-05,7.023,,,,,,,,408.76,,,,0.0,0.0,,,,,10.9624
