日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,GLD,GLD权重,^GLD-EU,^GLD-EU权重,^GLD-JP,^GLD-JP权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,黄金期货校准
2026-04-20,6.8648,89.0,1.137,,,,,,,86.0,,11.0,439.52,3.0,90.51650688,101.70394031460674,,,,,10.9349
2026-04-17,6.8622,89.0,1.135,1.1573,1.1419%,1.1577,0.03%,-1.96%,445.93,86.0,447.34,11.0,439.16,3.0,2643.8533313747516,2970.621720645788,4879.6,1.1598,0.22%,-2.14%,
2026-04-16,6.8616,89.0,1.144,1.1446,-0.0074%,1.1449,0.03%,-0.08%,440.08,86.0,441.12,11.0,442.72,3.0,2639.333683173161,2965.5434642395066,4808.3,1.1423,-0.20%,0.15%,10.9362
2026-04-15,6.8582,89.0,1.141,1.145,-0.8050%,1.1454,0.04%,-0.38%,440.46,86.0,440.64,11.0,442.08,3.0,2638.6304566637555,2964.7533220941073,4823.6,1.1489,0.34%,-0.69%,10.933
2026-04-14,6.8593,89.0,1.133,1.1547,1.8632%,1.155,0.03%,-1.91%,445.09,86.0,441.6,11.0,437.72,3.0,2640.3879453537716,2966.7280284873837,4850.1,1.1504,-0.37%,-1.52%,10.9425
2026-04-13,6.8657,89.0,1.123,1.1339,-0.4694%,1.1333,-0.06%,-0.90%,435.36,86.0,432.07,11.0,434.23,3.0,2633.683488790899,2959.1949312257293,4767.4,1.1344,0.05%,-1.01%,10.9467
2026-04-10,6.8654,89.0,1.128,1.1386,-0.1160%,1.1386,-0.00%,-0.93%,437.13,86.0,438.82,11.0,436.31,3.0,2636.729045336378,2962.616904872335,4787.4,1.1335,-0.45%,-0.49%,10.9451
2026-04-09,6.8649,89.0,1.122,1.1399,0.5476%,1.1393,-0.05%,-1.52%,437.91,86.0,438.95,11.0,433.59,3.0,2637.164674550399,2963.1063758993246,4818.0,1.1413,0.12%,-1.69%,10.9496
2026-04-08,6.868,100.0,1.143,1.1331,0.5122%,1.1339,0.07%,0.80%,434.53,86.0,436.38,11.0,444.41,3.0,2636.8240695437294,2636.8240695437294,4777.2,1.1475,1.27%,-0.39%,10.9381
2026-04-07,6.8854,100.0,1.112,1.1281,0.5682%,1.1295,0.12%,-1.55%,431.81,86.0,427.63,11.0,425.85,3.0,2631.670558957539,2631.670558957539,4684.7,1.1239,-0.37%,-1.06%,10.9457
2026-04-03,6.8929,100.0,1.113,1.1241,,,,,,86.0,,11.0,421.16,3.0,77.47568091806778,77.47568091806778,,,,,10.9317
2026-04-02,6.888,100.0,1.11,1.1231,-2.1624%,1.1198,-0.29%,-0.88%,429.41,86.0,429.2,11.0,421.16,3.0,2631.9225244412783,2631.9225244412783,4679.7,1.1105,-1.12%,-0.05%,10.9561
2026-04-01,6.9025,100.0,1.154,1.1446,1.7394%,1.1485,0.34%,0.48%,437.82,86.0,438.28,11.0,432.17,3.0,2639.552544775467,2639.552544775467,4813.1,1.1585,1.22%,-0.39%,10.9611
2026-03-31,6.9194,100.0,1.118,1.1289,3.4307%,1.1319,0.27%,-1.23%,430.29,86.0,423.35,11.0,418.82,3.0,2630.6009305518646,2630.6009305518646,4678.6,1.123,-0.52%,-0.45%,10.9622
2026-03-30,6.9223,100.0,1.091,1.0944,0.1389%,1.0939,-0.04%,-0.27%,414.58,86.0,416.09,11.0,415.6,3.0,2623.546007319079,2623.546007319079,4557.5,1.1017,0.67%,-0.97%,10.9624
2026-03-27,6.9141,100.0,1.077,1.0924,3.4974%,1.0959,0.32%,-1.73%,414.7,86.0,415.9,11.0,410.11,3.0,2624.714261836323,2624.714261836323,4524.3,1.0879,-0.41%,-1.00%,10.9624
2026-03-26,6.9056,100.0,1.073,1.0589,-3.4957%,1.0554,-0.33%,1.67%,400.64,86.0,403.82,11.0,406.99,3.0,2616.2911320049107,2616.2911320049107,4409.0,1.0537,-0.49%,1.83%,10.9624
2026-03-25,6.8911,100.0,1.091,1.0936,2.9843%,1.0963,0.24%,-0.48%,416.29,86.0,418.48,11.0,418.13,3.0,2625.0333519659844,2625.0333519659844,4585.5,,,,10.9624
2026-03-24,6.8943,100.0,1.058,1.0645,0.0994%,1.0655,0.09%,-0.70%,404.13,86.0,406.31,11.0,402.7,3.0,2618.6481415406297,2618.6481415406297,,,,,10.9624
2026-03-23,6.9041,100.0,1.025,1.0644,-2.5224%,1.0615,-0.27%,-3.44%,404.04,86.0,400.89,11.0,393.03,3.0,2616.3659048478016,2616.3659048478016,,,,,10.9624
2026-03-20,6.8898,100.0,1.115,1.089,-2.8492%,1.0862,-0.25%,2.65%,413.38,86.0,420.72,11.0,430.75,3.0,2623.745292286502,2623.745292286502,,,,,10.9624
2026-03-19,6.8975,100.0,1.135,1.1181,-4.2181%,1.1121,-0.53%,2.06%,426.41,86.0,421.97,11.0,442.56,3.0,2630.4767684017525,2630.4767684017525,,,,,10.9624
2026-03-18,6.8909,100.0,1.189,1.1611,-3.0620%,1.1574,-0.32%,2.73%,444.74,86.0,448.45,11.0,460.31,3.0,2644.6385166480063,2644.6385166480063,,,,,10.9624
2026-03-17,6.8961,100.0,1.191,1.194,-0.3148%,1.194,0.00%,-0.25%,459.27,86.0,459.72,11.0,460.06,3.0,2652.995512160804,2652.995512160804,,,,,10.9624
