日期,人民币中间价,仓位,收盘价,净值,变化比例,ETF静态估值,ETF静态估值误差,ETF静态溢价,^USO-EU,^USO-EU权重,USO,USO权重,^USO-JP,^USO-JP权重,校准值,对冲值,期货结算价,期货静态估值,期货静态估值误差,期货静态估值溢价,原油期货校准
2026-04-20,6.8648,68.0,2.135,,,,,,,47.0,,29.0,121.41,24.0,200.02928831999998,294.160718117647,,,,,0.7283
2026-04-17,6.8622,68.0,2.187,1.6265,-4.4167%,1.6574,1.90%,31.95%,113.55,47.0,116.04,29.0,126.2,24.0,494.9226214694128,727.8273845138423,83.85,1.5991,-1.68%,36.76%,
2026-04-16,6.8616,68.0,2.227,1.734,1.2094%,1.7261,-0.45%,29.02%,126.44,47.0,125.84,29.0,123.39,24.0,496.7497660899654,730.5143618970079,94.69,1.7493,0.88%,27.31%,0.7418
2026-04-15,6.8582,68.0,2.216,1.7055,-0.8825%,1.6958,-0.57%,30.68%,124.92,47.0,122.59,29.0,121.43,24.0,496.2461623805336,729.773768206667,91.29,1.7108,0.31%,29.53%,0.7425
2026-04-14,6.8593,68.0,2.266,1.7109,-3.4315%,1.7075,-0.20%,32.71%,125.24,47.0,123.85,29.0,125.98,24.0,501.2051901630721,737.0664561221647,91.28,1.6725,-2.24%,35.48%,0.7468
2026-04-13,6.8657,68.0,2.366,1.7682,3.1019%,1.7622,-0.34%,34.26%,132.81,47.0,128.47,29.0,132.82,24.0,510.8069927949327,751.186754110195,99.08,1.7395,-1.63%,36.02%,0.7727
2026-04-10,6.8654,68.0,2.24,1.7092,-0.8586%,1.7067,-0.15%,31.25%,126.43,47.0,124.82,29.0,125.81,24.0,505.36244747250174,743.1800698125026,96.57,1.706,-0.19%,31.30%,0.7798
2026-04-09,6.8649,68.0,2.392,1.7215,3.1764%,1.7357,0.83%,37.81%,128.54,47.0,126.96,29.0,125.86,24.0,508.19241657856514,747.3417890861251,97.87,1.7237,0.13%,38.77%,0.7838
2026-04-08,6.868,100.0,2.326,1.6823,-13.9016%,1.6012,-4.82%,45.27%,123.19,47.0,124.58,29.0,115.63,24.0,497.1622847292398,497.1622847292398,94.41,1.5505,-7.83%,50.01%,0.7757
2026-04-07,6.8854,100.0,2.584,1.8597,3.9527%,1.8991,2.12%,36.06%,142.41,47.0,138.08,29.0,142.36,24.0,522.5687973436576,522.5687973436576,112.95,1.8493,-0.56%,39.73%,0.8153
2026-04-03,6.8929,100.0,2.393,1.8252,,,,,,47.0,,29.0,,24.0,0.0,0.0,,,,,0.8112
2026-04-02,6.888,100.0,2.273,1.8269,8.9408%,1.8883,3.36%,20.37%,136.06,47.0,137.92,29.0,132.6,24.0,511.89275384531174,511.89275384531174,111.54,1.9269,5.48%,17.96%,0.8012
2026-04-01,6.9025,100.0,2.087,1.7333,-3.6549%,1.7551,1.26%,18.91%,124.76,47.0,124.09,29.0,123.92,24.0,495.25367809957885,495.25367809957885,100.12,1.7947,3.54%,16.29%,0.8014
2026-03-31,6.9194,100.0,2.319,1.8217,0.7537%,1.8581,2.00%,24.80%,130.34,47.0,127.25,29.0,127.57,24.0,489.1442633474227,489.1442633474227,101.38,1.8166,-0.28%,27.66%,0.8005
2026-03-30,6.9223,100.0,2.435,1.8442,5.1927%,1.8915,2.56%,28.74%,127.61,47.0,129.83,29.0,125.65,24.0,479.64159517405915,479.64159517405915,102.88,1.8588,0.79%,31.00%,0.8005
2026-03-27,6.9141,100.0,2.371,1.7981,3.8988%,1.8187,1.15%,30.36%,122.47,47.0,124.2,29.0,116.97,24.0,467.7782208831545,467.7782208831545,99.64,1.8484,2.80%,28.27%,0.8005
2026-03-26,6.9056,100.0,2.421,1.7505,4.6094%,1.7612,0.61%,37.46%,118.42,47.0,117.26,29.0,114.83,24.0,462.4325868037704,462.4325868037704,94.48,1.7648,0.82%,37.18%,0.8005
2026-03-25,6.8911,100.0,2.302,1.6836,-1.9411%,1.6837,0.00%,36.73%,112.14,47.0,113.39,29.0,111.27,24.0,459.626464760038,459.626464760038,90.32,,,,0.8005
2026-03-24,6.8943,100.0,,1.717,-0.5601%,1.7035,-0.79%,,114.57,47.0,114.54,29.0,114.16,24.0,459.6048756377402,459.6048756377402,,,,,0.8005
