日期,人民币中间价,仓位,收盘价,净值,变化比例,校准值,对冲值,ETF静态估值,ETF静态估值误差,ETF静态溢价,XOP,XOP权重,513350官方校准
2026-04-20,6.8648,100.0,,,,0.0,0.0,,,,,100.0,
2026-04-17,6.8622,100.0,,1.142,-4.8362%,959.5663029772329,959.5663029772329,1.1422,0.01%,,159.69,100.0,
2026-04-16,6.8616,100.0,,1.2002,2.2179%,959.4348541909682,959.4348541909682,1.1997,-0.04%,,167.82,100.0,
2026-04-15,6.8582,100.0,,1.1737,0.4979%,959.8090926131039,959.8090926131039,1.174,0.03%,,164.26,100.0,959.675855
2026-04-14,6.8593,100.0,,1.1682,-3.2144%,959.5504245848314,959.5504245848314,1.1686,0.03%,,163.42,100.0,959.647895
2026-04-13,6.8657,100.0,,1.2074,0.1409%,959.2305226105682,959.2305226105682,1.2066,-0.07%,,168.69,100.0,
2026-04-10,6.8654,100.0,,1.2049,0.4246%,959.8682745456055,959.8682745456055,1.2051,0.02%,,168.46,100.0,
2026-04-09,6.8649,100.0,,1.2,-2.3331%,959.7130199999998,959.7130199999998,1.1998,-0.01%,,167.76,100.0,
2026-04-08,6.868,100.0,,1.2285,-5.0371%,959.8428327228329,959.8428327228329,1.2291,0.05%,,171.69,100.0,
2026-04-07,6.8854,100.0,,1.2943,1.4359%,959.3703438151896,959.3703438151896,1.2943,0.00%,,180.34,100.0,
2026-04-03,6.8929,100.0,,1.2769,,0.0,0.0,,,,,100.0,
2026-04-02,6.888,100.0,,1.276,1.4279%,959.3537304075235,959.3537304075235,1.2759,-0.01%,,177.72,100.0,
2026-04-01,6.9025,100.0,,1.2579,-4.0736%,959.4579259082597,959.4579259082597,1.2576,-0.02%,,174.85,100.0,
2026-03-31,6.9194,100.0,,1.311,-2.0089%,959.690695652174,959.690695652174,1.3116,0.05%,,181.83,100.0,
2026-03-30,6.9223,100.0,,1.3385,-1.3179%,959.2440821815463,959.2440821815463,1.3383,-0.01%,,185.48,100.0,
2026-03-27,6.9141,100.0,,1.3562,1.6683%,959.3683365285357,959.3683365285357,1.3559,-0.02%,,188.18,100.0,
2026-03-26,6.9056,100.0,,1.3337,2.2519%,959.545468996026,959.545468996026,1.3336,-0.01%,,185.32,100.0,
2026-03-25,6.8911,100.0,,1.3042,0.7189%,959.6393053212697,959.6393053212697,1.3044,0.02%,,181.62,100.0,
