日期,美元,欧元,日元,港元,英镑,澳元,新西兰元,新加坡元,瑞士法郎,加元,澳门元,林吉特,卢布,兰特,韩元,迪拉姆,里亚尔,福林,兹罗提,丹麦克朗,瑞典克朗,挪威克朗,里拉,比索,泰铢
2026-05-15,684.15,795.34,4.3126,87.343,913.49,492.44,402.75,534.46,870.42,496.87,117.98,57.609,1078.17,241.61,21961.0,53.878,55.043,4492.32,53.272,93.96,137.78,136.11,667.209,252.18,476.23
2026-05-14,684.01,798.6,4.326,87.363,922.21,494.58,404.42,535.85,872.65,497.1,117.97,57.572,1086.4,240.4,21893.0,53.914,55.073,4478.21,53.096,93.57,136.83,134.58,666.345,251.42,475.21
2026-05-13,684.31,800.39,4.3327,87.408,923.35,493.66,405.94,536.35,874.35,497.73,117.89,57.619,1086.51,241.97,21923.0,53.887,55.051,4463.09,53.069,93.35,136.32,134.77,665.649,252.16,475.6
2026-05-12,684.26,803.29,4.3435,87.393,928.06,494.13,406.74,537.61,877.05,498.38,117.92,57.464,1084.39,240.86,21700.0,53.876,55.036,4422.0,52.686,92.99,135.27,134.73,664.947,251.65,474.41
2026-05-11,684.67,802.56,4.3533,87.468,927.7,493.7,405.93,538.15,877.79,498.43,117.81,57.398,1091.36,240.67,21491.0,53.858,55.007,4415.08,52.719,93.06,135.42,135.08,664.409,251.79,473.7
2026-05-08,685.02,801.39,4.3559,87.463,925.99,492.32,405.61,538.39,875.69,499.85,117.82,57.185,1095.1,240.96,21387.0,53.776,54.916,4445.71,52.752,93.26,135.85,136.27,662.799,252.8,473.06
2026-05-07,684.87,802.51,4.3661,87.415,928.26,494.01,406.3,538.84,877.21,500.7,117.88,57.373,1098.08,240.0,21238.0,53.806,54.955,4463.09,52.679,93.13,135.29,136.18,662.151,252.25,472.73
2026-05-06,685.62,800.94,4.3338,87.504,927.12,492.45,403.62,536.77,874.73,502.24,117.76,57.856,1106.03,242.53,21483.0,53.757,54.921,4505.46,52.946,93.29,135.2,135.3,661.707,253.35,475.3
2026-04-30,686.28,800.57,4.2812,87.581,924.16,488.24,400.0,535.18,866.59,500.85,117.66,57.715,1093.67,245.47,21709.0,53.602,54.737,4562.24,53.186,93.33,135.87,136.09,659.05,255.7,478.67
2026-04-29,686.08,802.26,4.2944,87.563,926.03,491.91,403.12,536.6,868.06,500.38,117.69,57.666,1099.57,241.4,21536.0,53.645,54.783,4529.73,52.922,93.16,135.3,136.16,658.002,253.69,475.24
